Agent,Concentration,Dye1_N,Dye2_N,Dye3_N,Dye4_N,Dye5_N,Dye6_N,Dye7_N,Dye8_N,Dye9_N,Dye10_N,Dye11_N,Dye12_N,Dye13_N,Dye14_N,Dye15_N,Dye16_N,Dye17_N,Dye18_N,Dye19_N,Dye20_N,Dye21_N,Dye22_N,Dye23_N,Dye24_N,Dye25_N,Dye26_N,Dye27_N,Dye28_N,Dye29_N,Dye1_U,Dye2_U,Dye3_U,Dye4_U,Dye5_U,Dye6_U,Dye7_U,Dye8_U,Dye9_U,Dye10_U,Dye11_U,Dye12_U,Dye13_U,Dye14_U,Dye15_U,Dye16_U,Dye17_U,Dye18_U,Dye19_U,Dye20_U,Dye21_U,Dye22_U,Dye23_U,Dye24_U,Dye25_U,Dye26_U,Dye27_U,Dye28_U,Dye29_U,Series
DMMP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d1
DMMP,10,0.768393965,0.757374819,3.635761958,0.254893479,3.902966464,2.46946362,0.508914099,0.84502301,1.498000167,0.741891787,0.276780899,0.62215808,3.724231524,0.288858268,0.501152125,0.499878113,0.857475207,1.052867831,0.0,1.548490206,0.507451219,0.246734391,0.0,0.499295432,0.499295432,0.482095934,0.520932205,0.605868932,0.298832528,13.45192106,3.100330313,1.831633788,0.389167793,1.946524338,0.857418395,2.026597423,2.189740235,0.09371403,1.403475785,5.113474361,3.169368555,1.881026778,1.238454445,3.780094526,1.729715135,1.397181882,0.67574241,1.892792651,0.456544474,1.007836001,0.966449643,0.697973819,3.473540092,1.108982831,0.171631014,0.478270786,0.651797024,0.0,d1
DMMP,50,0.511021376,0.757374819,3.872778825,0.0,2.950921602,1.445341159,0.513866851,1.9839315,0.706807318,1.219264816,1.087756867,1.946527402,2.244429993,0.707553308,1.087814045,0.0,2.326071085,1.080085449,0.113936254,0.248848686,0.466764421,0.494623779,0.499295432,0.250238215,0.250238215,1.040383858,0.262409268,0.247642493,0.892591972,14.74430182,1.111340267,1.497897147,0.389167793,1.093812295,1.412768807,2.489465391,1.265588043,0.09371403,0.897860659,3.935700479,5.177920067,0.685552079,1.291200967,3.475031806,1.860834623,3.141372403,0.431215118,3.321025042,1.441854688,1.24319493,0.164100671,1.985826685,1.342247509,0.41221895,1.037769743,1.02500888,2.438414631,0.0,d1
DMMP,100,0.254893479,0.503711358,3.582608547,0.506124184,1.792918827,0.758149893,0.255071026,1.42228134,0.6181974,1.880319399,1.087756867,1.230112395,1.651361749,0.0,1.795397627,1.513173263,2.652552793,3.098339983,0.336731911,3.285045881,0.0,0.743677423,0.24905906,0.251428812,0.251428812,1.177539244,0.520932205,0.746427881,0.591997758,18.6001718,1.752834302,1.096528196,0.424295427,1.946524338,1.644706528,3.199493411,0.858342367,0.756867061,0.348629195,3.517813971,3.692662759,0.362516493,1.238454445,5.909601937,1.729715135,0.679981169,1.194477543,4.676896761,1.051117874,1.24319493,1.019082945,1.854226236,1.683032335,0.41221895,0.954228454,0.449084498,1.581598936,0.0,d1
DMMP,500,0.506124184,0.251256356,3.150026526,1.133941461,2.420171749,1.228120063,0.255071026,1.195041111,0.975604742,1.5271593,0.847124196,1.394779097,1.736732595,0.696707241,1.018633856,2.762104497,2.524210283,1.311228384,1.350586319,2.286302856,0.442434944,0.0,0.24905906,0.0,0.0,0.512630811,1.300309253,0.605868932,0.567596376,20.40250124,6.441563503,1.170024751,0.513084045,0.880213004,1.047905677,2.315653112,1.667466744,0.09371403,1.958925468,4.10985258,4.557718882,1.050038213,0.160291825,4.436981322,2.559349022,4.480872787,0.528692912,3.774119696,1.815008432,1.261649523,0.966110826,1.171612633,3.648056606,1.242163024,1.431111618,0.696528384,2.150436334,0.0,d1
GA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d1
GA,10,0.772140242,0.508560734,6.035291145,0.254893479,3.268926705,1.386170595,1.241105461,0.574663001,0.764716469,0.712844294,0.15785177,3.157429421,0.608356398,0.0,0.252860315,1.67612062,1.183686275,0.739116225,0.365105733,0.809495099,0.18732117,0.0,1.141844856,1.358819164,1.141844856,0.295729168,1.166461039,1.251211142,0.836733409,13.51351134,3.481390896,3.185237945,0.389169235,3.545033431,1.233311756,0.860378906,1.667466744,0.290326579,1.399986093,3.023717693,3.349915079,2.728235363,1.862998839,3.82333425,2.613670314,0.448040625,1.316791446,0.847537394,0.317577811,0.612813972,0.805188984,0.0,2.882933669,1.824498178,0.44638124,2.39761143,0.681943711,0.0,d1
GA,50,0.256129886,0.253669213,5.226170439,0.253669213,2.486929364,0.860202398,1.335742848,1.21954577,0.988539628,1.211360443,1.085448801,3.353795435,1.218269367,2.285400731,0.793952822,1.953747732,2.15332618,2.155521397,0.473807452,0.248167286,0.558163104,0.0,1.690679058,0.250238215,0.56033744,1.055437675,1.058681729,1.251211142,1.091381336,12.55591568,2.801280329,2.694183078,0.415774995,2.744281312,1.819797091,4.306691293,0.858342367,0.361338514,0.917776046,2.391815195,5.187475252,1.941253164,1.806505704,0.943402495,2.758184714,1.025461988,1.716794706,0.287451891,3.100732377,0.652902458,0.587889188,1.738037138,1.760321243,0.0,1.11141142,3.601343893,4.059737648,0.0,d1
GA,100,0.254893479,0.252456899,3.921737007,0.506124184,1.27855667,0.0,1.152441182,1.213069816,1.484112741,2.117203783,1.26443915,3.339398859,0.914547905,3.172944892,1.289662924,3.201420955,2.550197832,7.252442101,0.521016528,2.581598492,0.150938239,1.143135744,1.352966001,0.504057937,1.510275795,1.218211356,0.262689342,0.252631026,0.43797238,19.40467346,2.56355618,2.159562107,0.970652761,3.116077483,2.924497843,2.922343577,1.414124107,0.423525951,1.715676989,3.735984777,4.44474389,2.399362245,1.245564495,6.603865299,1.202493868,2.241214674,2.058695448,1.687801501,0.0,0.157790589,0.716306201,1.190004845,2.564399876,1.365735785,0.919039569,3.263422163,3.34896372,0.0,d1
GA,500,0.508560734,0.503711358,5.411846381,0.0,2.182943121,0.494358384,0.0,0.607157086,1.10138935,1.376598055,1.102787216,3.66160812,1.218269367,5.890174211,0.500836393,7.521083985,6.341951855,13.79857075,1.400774753,0.989767341,0.588837115,0.489712887,1.352966001,0.499295432,1.352966001,0.990869251,1.299601221,1.180627305,1.095715033,21.56907963,8.372056175,0.689986398,0.525272199,2.885629346,1.761995089,5.90666159,0.858342367,0.439909822,1.821344763,2.954259988,5.966007577,1.57435309,0.613828141,5.245799129,3.451378585,21.42042765,7.483199959,1.199741185,2.257526245,0.157790589,1.478449912,3.18437023,5.3370614,2.143639594,1.11141142,2.935235273,4.205729057,0.0,d1
GB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d1
GB,10,0.938647514,0.75377313,4.722130564,0.253669213,3.31538429,2.103123724,0.253845036,0.561916396,0.490134314,0.651841661,0.278532533,2.96059882,1.41423912,0.460107584,0.250505103,0.828182782,1.342573911,0.697499692,0.342564409,1.506051346,0.442434944,0.0,1.106380092,0.750398554,0.247891174,1.168368651,1.092914128,1.400563693,0.682666598,14.2670492,2.553540681,3.721681552,0.494468,6.179571967,0.951986757,0.0,1.414124107,0.0,0.874975179,4.889928936,3.512666107,1.353886667,0.452189028,3.148185152,3.254116884,0.89391958,0.502686767,1.440343662,1.035393556,0.157790589,1.371301851,1.693404769,4.434510183,1.384683767,1.329651609,2.105616252,2.720500486,0.202597768,d1
GB,50,0.749112662,0.75377313,4.653066738,0.252456899,2.056823044,1.46077848,0.76893186,1.42228134,0.935855718,1.025027534,1.212224471,4.180798474,3.019570539,0.307364379,1.542126411,1.249074514,2.880627629,0.349756723,0.41402624,1.50524874,0.420678376,0.0,1.352966001,0.0,1.352966001,1.334349094,0.997529222,1.400563693,0.963251038,11.81120552,1.395857078,2.785406227,0.494468,5.509397217,2.090914104,4.150884961,1.265588043,0.182936207,1.549459541,3.95617986,5.013514779,1.586379574,0.192551192,2.089445955,2.58710876,1.071626125,0.519814183,1.033239355,4.573536874,0.957856705,1.009759988,2.096284133,2.058269442,0.0,1.937888165,4.418850183,4.121106061,0.202597768,d1
