Agent,Concentration,Dye1,Dye2,Dye3,Dye4,Dye5,Dye6,Dye7,Dye8,Dye9,Dye10,Dye11,Dye12,Dye13,Dye14,Dye15,Dye16,Dye17,Dye18,Dye19,Dye20,Dye21,Dye22,Dye23,Dye24,Dye25,Dye26,Dye27,Dye28,Dye29
AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC,10,6.701121227,0.611375131,0.170200928,0.830042188,2.994281683,1.879302902,7.316466454,0,0.185786731,0,0.655130841,2.684711136,0,0,2.586474607,0.159005042,1.440739271,0.203525481,2.075652393,0.45188796,2.532175157,2.854662937,2.854662937,2.854662937,2.854662937,2.854662937,2.854662937,0.518520873,0
AC,50,7.397109331,2.314552897,1.54162276,1.913016574,2.72705597,0.891967858,6.694083727,0,0.280441543,0.249428246,1.310566724,3.234607228,3.086300503,0,2.069896901,0.159005042,1.774345669,1.034906638,3.885378328,0.360063041,2.532175157,2.854662937,2.854662937,2.854662937,2.854662937,2.854662937,2.854662937,0.93827556,0
AC,100,7.996651333,1.389453457,1.641568257,2.820634257,3.373480344,1.25181865,9.006434606,0,0.375379937,1.263416953,1.748587141,3.257103779,2.874396747,0,2.069896901,0.159005042,1.887098159,1.099034879,4.432000081,1.264218718,2.532175157,2.351313838,2.351313838,2.351313838,2.351313838,2.351313838,2.351313838,0.482610336,0
AC,500,10.03572185,1.145561385,1.641568257,2.887397519,1.941918483,1.306920911,9.136892825,0,0.284367728,0.709681752,1.529696063,3.576874171,1.663402511,0,2.287491411,0.159005042,2.379416421,1.214276198,4.262027109,0.930835138,2.500354655,0.408232261,0.408232261,0.408232261,0.408232261,0.408232261,0.408232261,1.222648864,0
CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,10,3.690628967,1.786085385,0.160768663,3.431694342,2.943440199,2.711675753,5.512445679,0,0.817229488,1.982047548,0.704578941,2.058510716,0,0,1.005241694,0.15862514,1.321083255,0,2.375863433,2.650613396,2.136595891,2.060002759,2.060002759,2.060002759,2.060002759,2.060002759,2.060002759,1.069190709,0
CG,50,6.287007534,5.334019419,2.110291359,1.962709865,1.772256297,1.201170257,7.625917579,0,0.474772916,1.619243238,1.20094797,1.586728015,2.348329138,0,2.212986556,0.15862514,0.737238533,1.654047481,3.92995825,1.616575123,2.123623802,1.903998894,1.903998894,1.903998894,1.903998894,1.903998894,1.903998894,0.995408535,0
CG,100,9.563180127,4.234302312,2.333487535,3.426453481,3.572829077,1.86773213,7.866694418,0,0.572028315,1.882928304,2.063753051,1.810186747,2.091168006,0,2.003208195,0.15862514,1.324010399,2.080359206,3.715010391,2.540296398,2.123623802,1.653192146,1.653192146,1.653192146,1.653192146,1.653192146,1.653192146,2.389720414,0
CG,500,11.2838094,3.552884633,2.333487535,30.87396134,1.809918638,2.972021287,83.87080256,0,0.184839564,1.426323262,5.791544926,1.47519571,6.514306358,0,2.565877731,0.452581076,48.62707951,96.1417995,3.247151967,11.11739638,2.540213324,2.46856503,2.46856503,2.46856503,2.46856503,2.46856503,2.46856503,2.577778744,0
