Agent,Concentration,Dye1,Dye2,Dye3,Dye4,Dye5,Dye6,Dye7,Dye8,Dye9,Dye10,Dye11,Dye12,Dye13,Dye14,Dye15,Dye16,Dye17,Dye18,Dye19,Dye20,Dye21,Dye22,Dye23,Dye24,Dye25,Dye26,Dye27,Dye28,Dye29
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,10,1.012580487,3.939469134,5.468893665,1.02238134,0.56440029,1.195480387,1.740639215,1.78479398,0.863414488,0.382366619,0.877710894,6.561954501,0.400825787,0.472176248,0.835976676,1.70711797,1.646338805,1.106284252,5.586361226,1.531787568,0.428140736,1.801711555,0.50387174,1.991554987,0,1.358526352,3.285340454,0.256129886,0.640749161
A,50,0,5.188692577,4.527782456,0.76864268,1.68035008,0.88417972,1.327946212,2.275145308,0.268560074,1.547053402,0.423099805,8.299346008,2.112721827,1.334237258,0.638735059,3.910802223,2.999140261,0.281447754,5.581506616,1.960987423,0.219849519,1.550518593,0.253750549,0.761255832,0.25133617,1.762219384,2.792885653,1.098049532,0.475820656
A,100,1.293644245,2.138086214,5.230192702,0.513673095,2.297982381,0.567916558,0.50387174,1.985001712,0.666355578,0.204073316,0.281993521,4.810565038,2.516198405,1.057849689,1.077726711,5.312242084,3.576653195,0.570080815,4.608657414,2.539133906,0.219849519,1.882840719,0,1.26270797,0,1.062003954,2.405162633,1.098049532,0.421083149
A,500,1.293644245,3.175113054,4.576357684,0.76864268,2.161683205,1.770674574,7.02303121,3.093655049,0.669003869,2.85393006,0.837018329,3.893073333,9.510272265,9.688346384,0.609087495,12.5126928,12.81974101,1.689765205,5.021033934,7.624597262,0.428140736,2.120480587,1.250752415,1.26270797,1.333101625,1.575141999,2.274893925,1.279570105,1.348305367
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,10,0.25746233,6.386871698,4.668133854,0.263623779,1.74315395,1.578688199,1.24315262,2.05884139,0.961176845,0.898412887,1.343347791,6.351675181,1.928003338,0.849484663,0.780317022,1.2569651,1.875417932,1.743818082,5.581362337,0.883939537,0.693945966,1.810541323,0.25133617,0.76864268,0.252537469,0.379705096,1.269637495,0.257378624,1.238992596
B,50,4.251444785,8.187153637,4.499833694,0.569075938,0.956096087,2.851324343,0.505774565,2.275145308,0.418749883,0.904788077,0.504448468,5.613129151,2.105869192,2.257135763,1.096300639,2.038952615,4.57774511,0.413589777,6.914447835,2.11487939,0.271134051,1.554960847,0,0.513673095,0.252537469,0.815840415,1.318911773,1.123882814,0.515025473
B,100,3.99925794,6.124593876,5.662503819,0.78976399,2.990767297,1.408412384,1.136792431,2.008786368,0.471216536,1.116673258,0.276827871,3.783497212,2.782979845,3.527606617,1.582187015,4.055556479,5.94086819,0,4.277074282,2.373565517,0.160805889,1.742689976,0.252537469,0.76864268,0.506286088,0.893832499,0.657611457,1.119702819,0.515025473
B,500,8.053227321,7.423202396,3.395212312,1.87355142,4.22479163,2.375758419,13.98004091,2.615306401,0.240234766,2.543397683,3.066325142,5.329301605,11.31357641,21.0367071,0.51313882,10.37116894,30.17387407,1.448561704,5.348209297,10.83013562,0.433499851,1.810541323,0.501480775,0.513673095,1.093970229,1.163425425,1.557699568,0.513506488,0.939488892
