file,kind,dye,agent,size_MB,reacquisition,crc32
260804_ACN_A230_FullMS_PO_130-750.raw,agent-only,,A230,150.9,,a98afe3d
260804_ACN_A232_FullMS_PO_130-750.raw,agent-only,,A232,145.9,,d5e9c54d
260804_ACN_A234_FullMS_PO_130-750.raw,agent-only,,A234,147.8,,d460a036
260804_ACN_A242_FullMS_PO_130-750.raw,agent-only,,A242,140.3,,1444ee5f
260804_ACN_GA_FullMS_PO_130-750.raw,agent-only,,GA,150.0,,036989d6
260804_ACN_GB_FullMS_PO_130-750.raw,agent-only,,GB,151.7,,f16dccfb
260804_Anthracene_A234_FullMS_PO_130-750.raw,reaction,Anthracene,A234,142.9,,6032751c
260804_Anthracene_ACN_FullMS_PO_130-750.raw,dye-only,Anthracene,,149.1,,90962ac3
260804_Anthracene_GB_FullMS_PO_130-750.raw,reaction,Anthracene,GB,148.3,,78198f7a
260804_Blank_01.raw,blank,,,0.7,,f15a88d8
260804_Blank_01_20260804142406.raw,blank,,,201.6,yes,88fc559f
260804_Blank_01_20260806084618.raw,blank,,,162.5,yes,d54deaac
260804_Blank_02.raw,blank,,,171.1,,30e5af2c
260804_Blank_03.raw,blank,,,155.6,,b83508e7
260804_Blank_04.raw,blank,,,147.3,,e9403532
260804_Blank_05.raw,blank,,,146.4,,2aadcf76
260804_Blank_06.raw,blank,,,146.0,,eb9eef41
260804_Blank_08.raw,blank,,,152.6,,1a325d0e
260804_Blank_09.raw,blank,,,152.2,,86bdaee2
260804_Blank_10.raw,blank,,,150.2,,2fc97d1a
260804_Blank_10_20260806141749.raw,blank,,,146.6,yes,2aac1f7d
260804_Blank_11.raw,blank,,,148.9,,4b31cc4e
260804_Blank_12.raw,blank,,,147.8,,fe20bfe4
260804_DiNphenylH_A234_FullMS_PO_130-750.raw,reaction,DiNphenylH,A234,148.8,,c9c66c13
260804_DiNphenylH_GB_FullMS_PO_130-750.raw,reaction,DiNphenylH,GB,155.4,,8532f993
260804_Hydrazinobenzothiazole_A234_FullMS_PO_130-750.raw,reaction,Hydrazinobenzothiazole,A234,147.8,,2c29953e
260804_Hydrazinobenzothiazole_ACN_FullMS_PO_130-750.raw,dye-only,Hydrazinobenzothiazole,,150.8,,bc7c5f9a
260804_Hydrazinobenzothiazole_GB_FullMS_PO_130-750.raw,reaction,Hydrazinobenzothiazole,GB,157.1,,ac8b78b0
260804_Quinine_A230_FullMS_PO_130-750.raw,reaction,Quinine,A230,0.6,,e06ef59e
260804_Quinine_A230_FullMS_PO_130-750_20260805092147.raw,reaction,Quinine,A230,166.3,yes,9e653cc3
260804_Quinine_A232_FullMS_PO_130-750.raw,reaction,Quinine,A232,155.2,,e09ed92d
260804_Quinine_A234_FullMS_PO_130-750.raw,reaction,Quinine,A234,161.9,,61ea5907
260804_Quinine_A242_FullMS_PO_130-750.raw,reaction,Quinine,A242,149.3,,297ff5d9
260804_Quinine_ACN_FullMS_PO_130-750.raw,dye-only,Quinine,,158.8,,47e9ffdc
260804_Quinine_GA_FullMS_PO_130-750.raw,reaction,Quinine,GA,160.5,,a359cbab
260804_Quinine_GB_FullMS_PO_130-750.raw,reaction,Quinine,GB,165.5,,90bb1ff6
260804_RDiNphenylH_ACN_FullMS_PO_130-750.raw,dye-only,RDiNphenylH,,145.9,,91d719e9
260804_Rhodamine6G_A230_FullMS_PO_130-750.raw,reaction,Rhodamine6G,A230,144.2,,9c61ccfd
260804_Rhodamine6G_A242_FullMS_PO_130-750.raw,reaction,Rhodamine6G,A242,134.7,,e2426984
260804_Rhodamine6G_ACN_FullMS_PO_130-750.raw,dye-only,Rhodamine6G,,144.0,,10f19b46
260804_RhodamineB_A230_FullMS_PO_130-750.raw,reaction,RhodamineB,A230,147.2,,3a34c801
260804_RhodamineB_A242_FullMS_PO_130-750.raw,reaction,RhodamineB,A242,138.7,,1e004763
260804_RhodamineB_ACN_FullMS_PO_130-750.raw,dye-only,RhodamineB,,147.5,,934508bb
