Name,MW,LogP,TPSA,HBA,HBD,RotBonds,AromaticRings,HeavyAtoms,FractionCSP3,MR,LabuteASA,NumHeteroatoms,NumRings,BertzCT
DMMP,124.076,1.1020999999999999,35.53,3.0,0.0,2.0,0.0,7.0,1.0,27.54849999999999,43.159166131984385,4.0,0.0,82.18080946738405
GA,162.129,1.25868,53.330000000000005,3.0,0.0,3.0,0.0,10.0,0.8,38.532500000000006,60.89745760057358,5.0,0.0,184.57719722681782
GB,140.094,2.2038,26.3,2.0,0.0,2.0,0.0,8.0,1.0,30.859499999999986,48.61176894243514,4.0,0.0,106.6059378176129
GD,182.17499999999998,3.230000000000002,26.3,2.0,0.0,2.0,0.0,11.0,1.0,44.64050000000002,67.70659528562496,4.0,0.0,167.7696121417746
GF,180.15899999999996,3.1281000000000017,26.3,2.0,0.0,2.0,0.0,11.0,1.0,42.59650000000001,66.70076413209573,4.0,1.0,159.82350886146327
VX,267.375,3.6978000000000026,29.54,4.0,0.0,8.0,0.0,16.0,1.0,74.59250000000006,104.51001587821024,5.0,0.0,226.02445222960526
AC,27.025999999999996,0.13978,23.79,1.0,0.0,0.0,0.0,2.0,0.0,6.67,13.131830709298267,1.0,0.0,6.754887502163469
CG,98.916,1.584,17.07,1.0,0.0,0.0,0.0,4.0,0.0,17.101999999999997,33.507305581636665,3.0,0.0,29.019550008653873
CK,61.471,0.70628,23.79,1.0,0.0,0.0,0.0,3.0,0.0,11.466,23.43509693617994,2.0,0.0,26.264662506490403
HD,159.08100000000002,2.1972000000000005,0.0,1.0,0.0,4.0,0.0,7.0,1.0,38.76500000000001,58.56371985014796,3.0,0.0,28.870765403276856
HN,204.528,2.0048,3.24,1.0,0.0,6.0,0.0,10.0,1.0,48.60000000000003,77.23359395066097,4.0,0.0,55.74860596185443
L,207.31900000000002,2.2439,0.0,0.0,0.0,1.0,0.0,6.0,0.0,32.452999999999996,54.64642052389768,4.0,0.0,50.75488750216347
PS,164.37500000000003,1.5908,43.14,2.0,0.0,0.0,0.0,7.0,1.0,27.284399999999998,54.30202543097437,6.0,0.0,85.42592196522058
A-230,194.18999999999997,2.5390000000000006,32.67,1.0,0.0,3.0,0.0,12.0,0.8571428571428571,50.66850000000004,73.21774532981237,5.0,0.0,207.45191553287324
A-232,224.21599999999998,2.8607000000000014,41.9,2.0,0.0,5.0,0.0,14.0,0.875,56.370500000000035,84.7829029318431,6.0,0.0,241.49577839754272
A-234,238.24299999999997,3.249200000000002,41.9,2.0,0.0,5.0,0.0,15.0,0.8888888888888888,60.96550000000004,91.1478450462397,6.0,0.0,264.83795903797426
A-242,252.26999999999995,3.639300000000003,41.9,2.0,0.0,4.0,0.0,16.0,0.9,65.58250000000004,97.51278716063631,6.0,0.0,295.6843797833106
