,Dye1,Dye2,Dye3,Dye4,Dye5,Dye6,Dye7,Dye8,Dye9,Dye10,Dye11,Dye12,Dye13,Dye14,Dye15,Dye16,Dye17,Dye18,Dye19,Dye20,Dye21,Dye22,Dye23,Dye24,Dye25,Dye26,Dye27,Dye28,Dye29
MW,0.029447501647711205,0.32660421767843206,0.3680757723678248,-0.03393567999996366,0.6190852122144682,0.15454071437263012,0.17981153824317656,0.04285549033949702,0.0622872777266133,0.6595915061340841,0.39554014832128165,0.47332419568142264,0.7052098201197468,0.6340491007078486,-0.1539402452744671,0.637061414153661,0.5779572011748264,-0.015135976084756725,0.3575541095099971,0.6417873727665618,-0.24328207167028884,0.5906009862342232,0.30321603182059936,0.3055603904491848,0.054994176237576325,-0.5196697270858205,0.5331065553473762,0.05174709308058631,0.3426388817692167
LogP,0.07280289655824511,0.27847525927747163,0.5593761726597538,0.22161062657340896,0.6368447590838255,0.4262033117880499,0.4005778982301341,0.11348905811563852,0.004718118141893357,0.6680268920534833,0.46175134403189944,0.511873813683624,0.8227069596040696,0.6287519137294079,-0.2398399692033044,0.6591225231960052,0.6536240428706355,0.16508932168755916,0.31891822011495596,0.6815503148701265,-0.1278206440847677,0.6090466269458619,0.38872769613175745,0.34732694362276795,0.14817953553255964,-0.35576871342398964,0.6209748394220103,0.21736643988101143,0.26251605934874583
TPSA,-0.11548239504219968,0.6013730712438438,0.46262241922323516,-0.25466258107998907,0.3268253362050417,0.2638466149817025,-0.07271023457107223,-0.46523392294959964,-0.5613553464813357,0.15430227417661332,0.26752329965527716,0.34130256428807954,0.05265104475118261,0.4261304748170196,-0.6225342054069077,0.3536696703193264,0.1455365359444229,-0.2744981899975751,0.08344977669678923,0.28601228345126073,-0.14575833028050406,0.23516214162146007,-0.20449552906082066,0.16729198282106925,-0.6046748798584034,-0.6437013873477225,0.08001268223789634,0.3096179148309024,0.5750724433768815
HBA,0.48574388246671707,0.34605632987695023,0.2949562702305155,-0.17431717137853772,0.44717942934312305,0.32928904486093,-0.29103374266784443,-0.4442254525410483,-0.44806130824328716,0.5371906804253902,0.16834305958858484,0.273688960059444,0.28245545199481137,0.3096972215836632,-0.38567204535397215,0.5016528564807285,0.25050907430154623,-0.2501594329197976,-0.26674833172905693,0.029573768739472484,-0.3410014591967722,-0.10298848962363716,0.007664066905652869,0.027325318350433593,-0.20261966893834443,-0.3034219466813375,0.48836449615080546,0.2685090139385526,0.3195099771538077
HBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RotBonds,0.14351240599014198,-0.12956214794713827,0.08212857018093027,-0.3088222586812428,0.592185721095031,-0.03958912378054991,-0.22872527876972484,-0.34499972696861925,-0.22998850694701406,0.6903714678393746,0.11632150941845266,0.31930371549237324,0.600232088727582,0.5945414590065268,-0.19483455642458208,0.6176314621546757,0.22736461584375245,-0.4195541194169846,0.015716352858419186,0.34474601753910106,-0.4942313087976099,0.40889136749725263,0.242327100213611,0.09422808038182223,0.018884773066593197,-0.42584517381679243,0.5307086607371334,-0.26143912089527027,0.07399698946104308
AromaticRings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HeavyAtoms,0.003894812641934947,0.3190445430769879,0.5376781449077618,-0.09066265839249912,0.705666075908381,0.2814839234605866,0.14157437077321058,-0.22648368609895586,-0.2758356716860369,0.6957826783398862,0.4335747473057355,0.5717505490212434,0.7153038188461074,0.7638254229694943,-0.42590257081911054,0.7301579206729615,0.48538111028256026,-0.1817202097891024,0.2690459734055013,0.6599208412521846,-0.3355033279340678,0.6472430939261375,0.26431074550152367,0.3397883642969599,-0.1566571801491931,-0.6584095739775606,0.5420714660590458,0.0899106288463046,0.37181981512820933
FractionCSP3,0.12173972587008985,0.40485949504045515,0.26374336892309164,-0.1410945334921917,0.26220346207298173,0.17407100134485937,-0.2303096312496868,-0.462827661735812,-0.49013042634887005,0.5867937021198598,0.15319438895935084,0.23226680980209974,0.1554404251927648,0.2829875406202108,-0.3922182040240553,0.25960429333918905,-0.03111370878111555,-0.26012600968102945,-0.17597196776600715,0.10892760661805763,-0.6605883207027988,0.09583247043764875,0.30614235793558164,0.11313070834506475,-0.23251948050638616,-0.43361024633117135,0.21573508238995945,0.21131709806066212,0.4753533890489375
MR,0.0275078813666495,0.20136579033531765,0.41395324196954664,-0.11569649633958828,0.7056789074404637,0.19304436460750227,0.10100583847059123,-0.17428823159215595,-0.16410783378256982,0.7317585178499499,0.38909846767057293,0.5339399072125629,0.7464206837481037,0.735596955275785,-0.3246966513108971,0.7272850011581629,0.48882045375334715,-0.18444862620834707,0.2541384014373911,0.6153601937107158,-0.33436003887816435,0.6086941703746076,0.283219908777089,0.31247669335904893,-0.028888532102728737,-0.5701833090875309,0.580893724393671,-0.006205764368206121,0.30952361116444843
LabuteASA,0.004613773517230968,0.2868181561564692,0.41542018339123743,-0.09746109285816419,0.6903091255861888,0.21306762435755988,0.12448915949295328,-0.14424810017781114,-0.14582857956931314,0.6899078491487367,0.4077732406683507,0.5311133897994978,0.7222600875831198,0.723128632471645,-0.2757723216640193,0.7062060619241826,0.5141619959983361,-0.14197540036458856,0.2946810079459038,0.6317424211684458,-0.30220083119483443,0.6138803075423399,0.27914462957384856,0.3258075289271874,-0.023055869831853357,-0.5793077174259289,0.5592852088255513,0.03580945214867738,0.33778838807702605
NumHeteroatoms,-0.17225078809012612,0.6556959941105736,0.4248966367747818,-0.20038476100690708,0.48823985289223226,0.17767914807078616,0.0877393976336492,-0.14037075951795355,-0.1823292977588989,0.4741677491988196,0.3885402582408951,0.421008044812475,0.4071183300355594,0.5870995756240495,-0.3293382491473457,0.50080128995701,0.44943767500549586,-0.10881060952785018,0.3562800755683358,0.6184849138178107,-0.2256023555852696,0.5374193779530875,0.09264272808881956,0.27810656228255926,-0.3051245081390702,-0.712913603072585,0.27312188280553124,0.20540184751890397,0.6409471658630974
NumRings,0.23691806580897407,0.2635577578672311,0.26127175055957713,0.8125923663971023,-0.0892003341349753,0.2415407378490268,0.2967150793875492,0.32598243706283153,-0.09292225004457944,0.25682291965530707,0.013242125894623756,-0.024158596267916683,0.12274130863568755,-0.14077328449101734,-0.03350992931871027,-0.05990765220177128,0.1600934485309864,0.44605221217868285,-0.12630618704173865,-0.029338805825623437,-0.1480230924592945,-0.04988021659788723,0.15650222912398537,-0.0384891679116005,0.024021062874391604,0.20713840642037532,0.1901677689032405,0.4283004642397735,-0.24217190820138723
BertzCT,-0.09139796437715463,0.40966000867545443,0.6641064774217621,-0.09215077665703808,0.6886909513018122,0.3244347460681043,0.22348848638653362,-0.23250560161232378,-0.32106694550416087,0.5738137680644494,0.4901839124584203,0.6181655318277107,0.6497913864492361,0.7934807206359754,-0.5779998571556817,0.7158387403635743,0.49303453939617015,-0.16813334177189182,0.34030781482289624,0.7180978372382848,-0.22519819645074024,0.6974029020675838,0.18025140342761614,0.38923514021367644,-0.29711689960240606,-0.7422310748353452,0.45675362606909364,0.16710779838236625,0.46322725746698473
