Name,MW,LogP,TPSA,HBA,HBD,RotBonds,AromaticRings,HeavyAtoms,FractionCSP3,MR,LabuteASA,NumHeteroatoms,NumRings,BertzCT
Dye1,178.23399999999995,3.993000000000002,0.0,0.0,0.0,0.0,3.0,14.0,0.0,61.45400000000003,82.79473218296737,0.0,3.0,488.75909858914036
Dye2,202.25599999999997,4.584000000000002,0.0,0.0,0.0,0.0,4.0,16.0,0.0,70.14600000000003,93.45542159483816,0.0,4.0,666.6198058168793
Dye3,452.4660000000001,3.771220000000003,162.92,8.0,3.0,5.0,3.0,30.0,0.1111111111111111,107.14900000000004,171.51187493236273,12.0,3.0,1397.443858033481
Dye4,310.3970000000001,2.927200000000001,45.59,4.0,1.0,3.0,2.0,23.0,0.42105263157894735,90.47980000000004,135.94848408880833,4.0,5.0,758.1180651568537
Dye5,444.57500000000016,6.363100000000007,53.010000000000005,4.0,1.0,8.0,3.0,33.0,0.32142857142857145,134.4263,195.77814994421524,5.0,4.0,1088.1294804760103
Dye6,580.7090000000003,6.841700000000007,74.41,4.0,1.0,7.0,5.0,43.0,0.0,171.90389999999965,251.42352666055143,6.0,6.0,1927.6228436039428
Dye7,,,,,,,,,,,,,,
Dye8,304.35100000000006,3.0721000000000016,85.16,6.0,0.0,4.0,2.0,21.0,0.14285714285714285,79.35020000000004,123.0536290790873,7.0,2.0,736.0386295860372
Dye9,,,,,,,,,,,,,,
Dye10,238.29399999999998,1.01964,78.5,4.0,2.0,0.0,2.0,18.0,0.14285714285714285,72.52080000000001,104.68297676657066,4.0,3.0,709.3566054051952
Dye11,270.381,3.6872200000000026,42.150000000000006,3.0,1.0,1.0,3.0,19.0,0.2,85.00940000000004,115.8597817046635,4.0,3.0,781.0367568387873
Dye12,268.34,3.690500000000002,53.45,3.0,1.0,3.0,3.0,20.0,0.25,83.89540000000005,117.37868981272547,4.0,3.0,766.1054007371938
Dye13,318.39400000000006,3.0738600000000016,74.6,4.0,2.0,1.0,2.0,22.0,0.29411764705882354,84.06440000000003,129.52124263019343,5.0,3.0,889.4915609312452
Dye14,438.39700000000016,4.631900000000004,165.52,9.0,2.0,4.0,4.0,31.0,0.0,110.01920000000001,174.168683470453,11.0,4.0,1514.7821988018459
Dye15,,,,,,,,,,,,,,
Dye16,537.0230000000001,5.258200000000003,74.6,4.0,2.0,1.0,2.0,24.0,0.0,102.7954,163.37973726835241,8.0,3.0,1000.3631980531424
Dye17,252.32099999999997,1.19502,55.72,4.0,1.0,1.0,2.0,19.0,0.2,77.69840000000002,111.46786185415792,4.0,3.0,775.4630756115035
Dye18,646.8870000000001,6.386600000000002,90.57,4.0,1.0,2.0,2.0,29.0,0.0,121.74730000000002,196.75774200894642,9.0,4.0,1359.6946050317429
Dye19,420.3800000000001,0.6230000000000001,172.6,10.0,2.0,2.0,2.0,28.0,0.0,91.7428,157.9270410312896,12.0,4.0,1237.194365117349
Dye20,,,,,,,,,,,,,,
Dye21,372.53600000000006,4.459600000000004,9.49,2.0,0.0,4.0,2.0,28.0,0.24,122.95540000000004,168.7830658754971,3.0,3.0,878.3574784099058
Dye22,307.32800000000003,-2.2060999999999984,158.82,6.0,6.0,9.0,0.0,20.0,0.6,71.27440000000003,119.85296768959668,10.0,0.0,389.18921854622977
Dye23,324.015,4.782800000000002,0.0,0.0,0.0,0.0,2.0,15.0,0.07692307692307693,70.08400000000002,105.5827034977111,2.0,3.0,494.72737105105637
Dye24,214.31199999999998,1.9684000000000001,7.76,0.0,0.0,3.0,2.0,16.0,0.2857142857142857,63.61600000000004,96.8075047182311,2.0,2.0,397.66648704843345
Dye25,214.22,2.3288,57.53,3.0,2.0,2.0,2.0,16.0,0.0,59.64610000000003,92.6034290443934,3.0,2.0,450.2058452490422
Dye26,198.13799999999998,0.7886000000000002,124.33000000000001,6.0,2.0,3.0,1.0,14.0,0.0,47.5609,77.59724346535229,8.0,1.0,391.4179360709387
Dye27,172.27800000000002,1.4284,52.04,4.0,4.0,0.0,1.0,10.0,0.0,49.77080000000001,70.42131784032584,4.0,1.0,209.9198833722299
Dye28,165.22099999999998,1.5819,50.94,4.0,2.0,1.0,2.0,11.0,0.0,47.43010000000001,67.8329678034459,4.0,2.0,335.47812173293045
Dye29,444.5750000000002,6.629640000000006,59.59,5.0,2.0,7.0,3.0,33.0,0.32142857142857145,134.10289999999998,195.67751844833546,5.0,4.0,1124.5002806367386
