agent,family,full_name,SMILES,InChI,InChIKey,formula,MW,monoisotopic_mass
DMMP,d1,Dimethyl methylphosphonate (simulant),COP(C)(=O)OC,"InChI=1S/C3H9O3P/c1-5-7(3,4)6-2/h1-3H3",VONWDASPFIQPDY-UHFFFAOYSA-N,C3H9O3P,124.08,124.0289
GA,d1,Tabun,CCOP(=O)(C#N)N(C)C,"InChI=1S/C5H11N2O2P/c1-4-9-10(8,5-6)7(2)3/h4H2,1-3H3",PJVJTCIRVMBVIA-UHFFFAOYSA-N,C5H11N2O2P,162.13,162.0558
GB,d1,Sarin,CC(C)OP(C)(=O)F,"InChI=1S/C4H10FO2P/c1-4(2)7-8(3,5)6/h4H,1-3H3",DYAHQFWOVKZOOW-UHFFFAOYSA-N,C4H10FO2P,140.09,140.0402
GD,d1,Soman,CC(OP(C)(=O)F)C(C)(C)C,"InChI=1S/C7H16FO2P/c1-6(7(2,3)4)10-11(5,8)9/h6H,1-5H3",GRXKLBBBQUKJJZ-UHFFFAOYSA-N,C7H16FO2P,182.17,182.0872
GF,d1,Cyclosarin,CP(=O)(F)OC1CCCCC1,"InChI=1S/C7H14FO2P/c1-11(8,9)10-7-5-3-2-4-6-7/h7H,2-6H2,1H3",SNTRKUOVAPUGAY-UHFFFAOYSA-N,C7H14FO2P,180.16,180.0715
VX,d1,VX,CCOP(C)(=O)SCCN(C(C)C)C(C)C,"InChI=1S/C11H26NO2PS/c1-7-14-15(6,13)16-9-8-12(10(2)3)11(4)5/h10-11H,7-9H2,1-6H3",JJIUCEJQJXNMHV-UHFFFAOYSA-N,C11H26NO2PS,267.38,267.1422
AC,d2,Hydrogen cyanide,C#N,InChI=1S/CHN/c1-2/h1H,LELOWRISYMNNSU-UHFFFAOYSA-N,CHN,27.03,27.0109
CG,d2,Phosgene,O=C(Cl)Cl,InChI=1S/CCl2O/c2-1(3)4,YGYAWVDWMABLBF-UHFFFAOYSA-N,CCl2O,98.92,97.9326
CK,d2,Cyanogen chloride,N#CCl,InChI=1S/CClN/c2-1-3,QPJDMGCKMHUXFD-UHFFFAOYSA-N,CClN,61.47,60.9719
HD,d2,Sulfur mustard,ClCCSCCCl,InChI=1S/C4H8Cl2S/c5-1-3-7-4-2-6/h1-4H2,QKSKPIVNLNLAAV-UHFFFAOYSA-N,C4H8Cl2S,159.08,157.9724
HN,d2,Nitrogen mustard (HN-3),ClCCN(CCCl)CCCl,InChI=1S/C6H12Cl3N/c7-1-4-10(5-2-8)6-3-9/h1-6H2,FDAYLTPAFBGXAB-UHFFFAOYSA-N,C6H12Cl3N,204.53,203.0035
L,d2,Lewisite,Cl/C=C/[As](Cl)Cl,InChI=1S/C2H2AsCl3/c4-2-1-3(5)6/h1-2H/b2-1+,GIKLTQKNOXNBNY-OWOJBTEDSA-N,C2H2AsCl3,207.32,205.8438
PS,d2,Chloropicrin,O=[N+]([O-])C(Cl)(Cl)Cl,"InChI=1S/CCl3NO2/c2-1(3,4)5(6)7",LFHISGNCFUNFFM-UHFFFAOYSA-N,CCl3NO2,164.38,162.8995
A-230,d3,Novichok A-230 (P-methyl amidine),CCN(CC)/C(C)=N\P(C)(=O)F,"InChI=1S/C7H16FN2OP/c1-5-10(6-2)7(3)9-12(4,8)11/h5-6H2,1-4H3/b9-7-",OUJDIWHRYQBZSR-CLFYSBASSA-N,C7H16FN2OP,194.19,194.0984
A-232,d3,Novichok A-232 (O-methyl amidine),CCN(CC)/C(C)=N\P(=O)(F)OC,"InChI=1S/C7H16FN2O2P/c1-5-10(6-2)7(3)9-13(8,11)12-4/h5-6H2,1-4H3/b9-7-",BBTXAVJVSQSXHZ-CLFYSBASSA-N,C7H16FN2O2P,210.19,210.0933
A-234,d3,Novichok A-234 (O-ethyl amidine),CCOP(=O)(F)/N=C(/C)N(CC)CC,"InChI=1S/C8H18FN2O2P/c1-5-11(6-2)8(4)10-14(9,12)13-7-3/h5-7H2,1-4H3/b10-8-",SBPSVLLDDYOPDZ-NTMALXAHSA-N,C8H18FN2O2P,224.22,224.109
A-242,d3,Novichok A-242 (P-methyl guanidine),CCN(CC)C(=NP(C)(=O)F)N(CC)CC,"InChI=1S/C10H23FN3OP/c1-6-13(7-2)10(12-16(5,11)15)14(8-3)9-4/h6-9H2,1-5H3",WJDIQLITBJEMBA-UHFFFAOYSA-N,C10H23FN3OP,251.29,251.1563
